"Rk","G","Month","Day","Year","Age.Year","Age.Day","Tm","X","Opp","X.1","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","PM","Season","Date","Status","Name","LName"
11,11,11,17,1984,21,274,"CHI","","PHI","L (-9)",1,"44:00:00",4,17,0.235,0,0,NA,8,8,1,0,5,5,7,5,2,4,5,16,12.5,NA,1,1984-11-17,"Regular Season","Michael","Jordan"
12,12,11,19,1984,21,276,"CHI","","IND","L (-17)",1,"39:00:00",11,26,0.423,0,3,0,12,16,0.75,2,3,5,2,2,1,3,3,34,20.8,NA,1,1984-11-19,"Regular Season","Michael","Jordan"
13,13,11,21,1984,21,278,"CHI","@","MIL","L (-10)",1,"42:00:00",11,22,0.5,0,0,NA,13,14,0.929,4,9,13,2,2,2,6,3,35,26.7,NA,1,1984-11-21,"Regular Season","Michael","Jordan"
14,14,11,23,1984,21,280,"CHI","@","SEA","W (+19)",1,"30:00:00",9,13,0.692,0,0,NA,5,6,0.833,0,4,4,3,4,1,4,4,23,19.5,NA,1,1984-11-23,"Regular Season","Michael","Jordan"
15,15,11,24,1984,21,281,"CHI","@","POR","L (-10)",1,"41:00:00",10,24,0.417,0,1,0,10,10,1,3,3,6,8,3,1,4,4,30,23.9,NA,1,1984-11-24,"Regular Season","Michael","Jordan"
16,16,11,27,1984,21,284,"CHI","@","GSW","L (-6)",1,"24:00:00",6,10,0.6,0,0,NA,1,1,1,0,2,2,3,3,2,4,1,13,11.1,NA,1,1984-11-27,"Regular Season","Michael","Jordan"
17,17,11,29,1984,21,286,"CHI","@","PHO","L (-5)",1,"30:00:00",9,17,0.529,1,1,1,3,4,0.75,1,2,3,2,2,0,2,5,22,14,NA,1,1984-11-29,"Regular Season","Michael","Jordan"
18,18,11,30,1984,21,287,"CHI","@","LAC","W (+4)",1,"37:00:00",9,15,0.6,0,0,NA,2,4,0.5,2,3,5,5,3,0,4,4,20,15.5,NA,1,1984-11-30,"Regular Season","Michael","Jordan"
19,19,12,2,1984,21,289,"CHI","@","LAL","W (+1)",1,"42:00:00",7,13,0.538,0,0,NA,6,8,0.75,2,0,2,3,1,1,4,3,20,12.9,NA,1,1984-12-02,"Regular Season","Michael","Jordan"
20,20,12,4,1984,21,291,"CHI","","NJN","W (+15)",1,"35:00:00",7,13,0.538,0,0,NA,6,6,1,1,2,3,6,1,0,3,3,20,16,NA,1,1984-12-04,"Regular Season","Michael","Jordan"
21,21,12,7,1984,21,294,"CHI","","NYK","W (+2)",1,"43:00:00",8,16,0.5,0,1,0,5,7,0.714,1,1,2,3,2,0,6,5,21,9.3,NA,1,1984-12-07,"Regular Season","Michael","Jordan"
22,22,12,8,1984,21,295,"CHI","","DAL","W (+2)",1,"35:00:00",10,23,0.435,0,0,NA,0,0,NA,4,3,7,2,0,2,2,3,20,11.2,NA,1,1984-12-08,"Regular Season","Michael","Jordan"
23,23,12,11,1984,21,298,"CHI","","DET","L (-7)",1,"37:00:00",13,28,0.464,0,1,0,1,3,0.333,1,7,8,6,2,0,3,4,27,16.2,NA,1,1984-12-11,"Regular Season","Michael","Jordan"
24,24,12,12,1984,21,299,"CHI","@","DET","L (-7)",1,"30:00:00",6,17,0.353,0,2,0,9,10,0.9,0,1,1,2,2,1,1,5,21,12.5,NA,1,1984-12-12,"Regular Season","Michael","Jordan"
